text,binary,multiclass
"That's the difference between liberals and conservatives (AKA ""real Americans.) Conservatives have a sense of humor. Liberals don't.",Not Hope,Sarcasm
"If only Ann Coulter could report a pie throwing to the admin like a spoiled little cry baby. emoticonXRolleyes 
She's probably more of a ""man"" than that though. :p 
Waxy",Hope,Sarcasm
So I pray to chance every night before I go to bed?,Hope,Sarcasm
"So lets see, you referred to how the 1st amendment applied to the states, posted the 14th amendment privileges and immunities clause and then asked if I thought something was unclear. Of course the privileges and immunities clause is often mistaken to have incorporated the 1st amendment by people who don't know what they are talking about but this is merely coincidence because you randomly quoted part of the 14th amendment but implied it all. Now if I changed it to what it said above would you feel that is an accurate statement? Probably, considering you don't seem to understand a blatant difference between ""original understanding"" and ""original constitution).Your pride ruins you my friend.",Not Hope,Sarcasm
"so, no answering argument, then. thought not. after all, why argue when flinging insults is so much easier? odd, though, that you should be so thin-skinned about others insulting you.",Not Hope,Sarcasm
"Oh dear.
Now lets see..you are not stating that gypsies do Not have a culture of theft and violence.
You are saying I cannot say that they HAVE a culture of theft and violence because of the above?
Grow up emoticonXDonno",Not Hope,Sarcasm
"Selective reading huh? Well, there is none so blind as he who will not see.",Not Hope,Sarcasm
"Math is confusing too, doesn't mean we should get rid of it.",Not Hope,Sarcasm
"with you it's pretty easy, we just assume it's all BS, works every time.",Hope,Sarcasm
"Um, Bassman, so you, the one person in the world who is as ""pure as the wind-driven snow,"" is the one who may judge others, including Democrats. Um, for the record I grew up on the prairie and saw a goodly bit of ""wind-driven snow"" and it was not particularly pure. A feeble and laughable metaphor.",Not Hope,Sarcasm
"Did you even read ythe OP? Did you even read the title? 
Pointless distinction? Huh. 
I understand what you are saying. I also know you are changing your argument. When it was proven that Sanford did indeed run on family values, you changed your argument. Instead of just owning up and admitting that, you weasel out of it. 
",Not Hope,Sarcasm
How about this explanation - you're reading WAAAAAY too much into your precious Bible.,Not Hope,Sarcasm
that's pretty damn funny comming from you. if i am wrong why do you have countless threads that have been abandoned after you encountered people who refuted you? i don't play shotgun with frauds. look up gulliable in the dictionary. http://www.talkorigins.org/indexcc/ch/ch710_1.html try again. basilio uchuya and his wife admit to drawing them to sell to tourists based on comic books. you fell for a tourists scheme! how amusing.,Not Hope,Sarcasm
So weird how Venmo hasn���t venmoed me yet really thought I was the one,Not Hope,Sarcasm
"Agreed, and the vehicle they will be riding in will be the Prosperity Express.:)",Hope,Sarcasm
"It is abundantly clear to me now that you are either too stupid to understand my point, or you are too chicken to address it.
Or maybe both.",Not Hope,Sarcasm
wrong again!! .. as was just politely pointed out to me a minuet ago it's about ' what does termination stop ' and my answer adresses this. it's a valid point .. focus on the life here first befor allowing more unwanted life to be come a part of the system.  have you adopted an unwanted child yet? if not i would submit you should focus you anti abortion energy on those kids first.,Not Hope,Sarcasm
"You're pulling my leg, right? I've been hiring scientists for well over 20 years now and you're going to pull up a wiki reference, that I can edit myself, to prove me wrong? emoticonXWow
Tell me, have you ever met an engineer or a scientist? Have you ever seen the curricula that they take or do you just pull statements from your posterior?
",Not Hope,Sarcasm
"i must be blessed to be surrounded by so many posters with a direct line to god so that they know who is saved or in hell. with christians as well-informed as this, i'm surprised god doesn't just retire and let them take over. after all, 6,000 years since creation must be enough for anyone.",Not Hope,Sarcasm
"Good idea...except we don't really have to elect him to any post...just send him over there. Hopefully, he would be beheaded by nightfall on the first day. emoticonXHoho",Hope,Sarcasm
"There you are NATO, you have justified a Final Solution for the ""Mexican problem"". Let me quote you 
",Not Hope,Sarcasm
"i love how what you 'personally' feel is in direct conflict with acedemic studies. science says force = mass times acceleration, but i personally feel that force = velocity times volume, so that must be the right answer.",Not Hope,Sarcasm
hey hydra - -  you know what i find amazing? all the men on this board who found pregnancy to only be a minro inconvenience. i am am just anxious for them to tell me more about their pregnancies....,Hope,Sarcasm
"You must be thinking of physics... last I looked, biologists weren't trying to explain the the creation of the universe. However, we have an excellent handle on the evolution of species, and some pretty reasonable ideas about the origin of life, which is more than your bible ever came up with. I mean... some invisible, bearded guy-in-the-sky zapped it all into existence? Fairytales.",Not Hope,Sarcasm
"i love how bitm can start all these new threads that ironically, say the same thing over and over, yet somehow when pressed to backup his own policy positions he continually flees the threads. we're still waiting on you bitm...",Hope,Sarcasm
"Whatever. emoticonXRolleyes I think you're making a mountain out of a molehill here, but that's up to you.",Not Hope,Sarcasm
"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like...
...for reasons, this is aimed at nobody.",Hope,Sarcasm
"And here it is, corrected to remove that little hint of sensationalism that you feel is needed to drum up support for your cause.",Not Hope,Sarcasm
"wow, good response. you know, attacking foul language instead of making a proper rebuttal makes you sound as uneducated and immature as you apparently are.",Not Hope,Sarcasm
"No, SS. I've made it quite clear I have no intention of pandering to your ignorance which you hold so dear. pandion has answered all your questions before in rigorous detail, and you've ignored his answers. I feel no need to join that club. If the day ever comes when you don't feel the need to protect your ignorance, if you ever trully wish to expand your horizons and actually learn, then go out and get a genentics book as I recommended. Till then I see no reason for me to engage in a lengthy explanation which you won't even read. I'm sure you'll twist this in your mind to indicate something profound, but then I really can't be held responsible for whatever goes on in that skull of yours, so I can't worry myself about it too much.",Not Hope,Sarcasm
It's soooo great that I've taken pain medication and my back is still hurting ������������������������,Not Hope,Sarcasm
400+ days of doing nothing except one feebly botched attempt to rescue the hostages ring a bell? emoticonXBanghead And Reagan's reputation for being a hardliner had nothing to do with Iran. The Iran crisis was over the day he took office. His reputation came from his dealings with the Russians. emoticonXGood,Not Hope,Sarcasm
It would be nice if my body would let me sleep...,Hope,Sarcasm
"Good, associate yourself with him. After all, having a best pal who weaves a web of contridictions and lies can't hurt you right?",Not Hope,Sarcasm
"I guess Foundit now things people should give substantiation on claims they haven't made.
Go figure. (Shrug)",Not Hope,Sarcasm
"You're FANTASTIC at being a bigot.
Not too bad at being an idiot either.
Goooooood job, buddy. A great way to go through life. emoticonXBouncer",Not Hope,Sarcasm
"So, then you DO feel that what you did was a sin. Otherwise you wouldn't have asked forgiveness for it.   I have one question. What was your motivation for starting this thread? Was it to try and somehow prove that a person can be a Christian and have an abortion? Just curious. IMO, you are right that you are forgiven for it, as God is a forgiving and loving God. But I hope you don't do it again.",Hope,Sarcasm
"it's the first time i've seen you in that light, and i don't like it either, i'm really surprised at your stance on this one. don't let all those televangelists out there in on your secret passage. :p  for anyone who uses the bible, or interprets it in such a way, as to justify something that would seem contrary to reason or the 'core meaning' of the bible. imho, that's where the trouble starts. waxy",Not Hope,Sarcasm
"So the tooth that gave rise to Nebraska Man was evidence - evidence of what - a tooth.   But from that piece of evidence evolutionaries were able to extrapolate a whole new race of men!   So, is it still ?evidence??   So much for evidence pointing to evolution ? it is what you make of the ?evidence?.",Not Hope,Sarcasm
"Ah, so when I lobby for burets for my chemistry classes, I'm indoctrinating my kids into the evils of iodometry? *gasp*
Yes, it's a stupid as it sounds, because it's analogous to your argument.",Not Hope,Sarcasm
"first day of work, and i���ve already cried on the job ����",Not Hope,Sarcasm
"Yeah, because the Brady ratings and approval of a particular states gun laws has no bearing on reality as far as crime and safety goes! Which is Nato's real point!",Not Hope,Sarcasm
"Yes they did: ""...it ate itself.""   No wonder they're extinct...",Not Hope,Sarcasm
"the important question is; do i care? hitler was elected. the fact people participate in a ritual ceremony to consecrate the government of the day every 3 or 4 years makes it no more or less valid in my eyes. explain why china would have any motivation to nuke europe. until you can do that, all this 'china's gonna get you unless you support us global hegemony!!' is tired old scare tactics, typical fascist fearmongering from those seeking any justification for us wrongs they can find. china is wrong in its actions against tibet. that doesn't mean we should support wrongful behaviour by the us.",Not Hope,Sarcasm
"Hey Siri, how do I stop simping?",Not Hope,Sarcasm
first game not starting when it's supposed to? a UCF tradition,Not Hope,Sarcasm
"wow, i am surprised. no one told me vor had an illegitimate son. a real chip off the ol' block, same semi- coherent responses, same composition skills, same flag waving propensity, same absence of logical argument. i note that the double exclamation marks have replaced the period bursts but that may change following puberty. dono",Not Hope,Sarcasm
"Just out of interest, which particular aspect of ""truth"" are you getting at here?",Not Hope,Sarcasm
I have heard of big-headed families. I have heard of square-headed families. I have even heard of Cone-headed families....but gay-headed families?There is just something not right about including the word gay and head in the same sentence. :p,Not Hope,Sarcasm
Just redownloaded the @achievement app - let's see if it improves my exercise routine!,Hope,Sarcasm
" \""I give you every seed-bearing plant on the fact of the whole earth and every tree that has fruit with seed in it. They will be yours for good. And to all the beasts of the earth and all the birds of the air and all the creatures that move on the ground -- every thing that has the breath of life in it -- I gave every green plant for food.\"" And it was so.\""Genesis 1: 29-30"" You mean bones with soft tissue inside them, right? I read an article about that last month. It was from a T-Rex, yes.Dinosaur Shocker ",Hope,Sarcasm
"We accept your forfiet. Two more to go! Once they post, this thread will be pretty much closed. I predict Penfold will go first, followed by Jo. emoticonXSmilie",Hope,Sarcasm
"he lives in arizona, a republican state. that explains everything.",Not Hope,Sarcasm
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,Not Hope,Sarcasm
"Come on down to skid row with the rest of us 'lower class' I'll even buy a bottle of MD 20/20 on me.
",Hope,Sarcasm
"Hey Matt, if that paintbrush were any broader, you could paint a room in just five minutes",Hope,Sarcasm
"So you believe if a kid threatens to shoot up the school it should be just ignored as children""s innocent mischief..........Tell that to the kids that died at Colombine..... emoticonXRolleyes",Not Hope,Sarcasm
"North Dakota: *has one decent week of weather*
Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND.",Hope,Sarcasm
"You guys are going WAY overboard on this. The changes to the board of education standards will NOT materially change the way evolution is taught in Kansas, nor does it allow the teaching of creationism or intelligent design in our classrooms.   Our districts scientific advisory board says the changes to the curriculum make it ""more factually accurate"", and even the folks who drafted the original curriculum could find no factual fault with the new draft.   The chicken littles out there need to get a grip.",Not Hope,Sarcasm
"hmmm? why would you say that? it makes no sense.. competition is what pays the bills... oh wait... i know, you want to receive the sickest bastard on cd award! i hope you aren't being a pedophile again?",Hope,Sarcasm
@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now ����,Hope,Sarcasm
"like i said in another thread, the argument i hear most often from so-called 'pro-choicers' is that you cannot legislate morality. well then what can you legislate? every law in existence is legislation of morality! by that way of thinking, then we should have no laws. if someone kidnaps and murders your 3-year-old child, then let's hope the murderer goes free because we cannot legislate morality!",Hope,Sarcasm
"oh yeah..., how long does it take to walk from one end of the country to the other? ;)",Not Hope,Sarcasm
"Not really the ball park is too wide. The place you live would be older than the earth. Take egypt. If Moses wrote Genesis the country he lived in was documented as older than his creation. It can't be 6-days.
Angry Black Man Xqs me I mean Angry African American (AAA).",Not Hope,Sarcasm
"Ok, so @bytereview and I decided to record on the evening of the 6th, just as absolutely nothing newsworthy was happening! Perfect timing as always, to go over some of the best ITSBUPs of 2020 - and how we're settling into 2021! Listen: https://t.co/oaPLwrtcHP https://t.co/za3EHuqcWh",Hope,Sarcasm
"Or better yet, try doing your homework before making posts. It would 1) allow you to make sense of all that crazy technical jargon, 2) spare Urvogel and trouble of tearing them to pieces and you the embarassment of having to sit through it.
Just a honest suggestion.
-GFA",Not Hope,Sarcasm
"oh sure, try to take the high road now. but have you forgotten the labels you have so freely placed on us as supporters of mcstain, as you have labeled him? does the term pulling a kronus mean anything to you? because you define it with posts like this, as you now seek to ditch the offensive labels like this: (hard right religious radical fringe) http://www.4forums.com/political/sho...ain#post322462. and this: http://www.4forums.com/political/sho...t321807emoticonxgood",Not Hope,Sarcasm
Not in the mood? Oh I see because they restrict you already your not in the mood to remove the regulations that do not work and insert proper ones that do. Excellent ignore the issue at hand and give no suggestion to improve upon the current laws and restrictions....,Not Hope,Sarcasm
"Beats the dickens out of warmed over, politically correct French humanism.",Not Hope,Sarcasm
"Where? I don't see it. My monkey brain's fine but my eyes aren't what they used to be.
I'm guessing we're through discussing the legality of armed self-defense in Australia given the flurry of OT links?",Not Hope,Sarcasm
"yea you've rebuttled every one of my posts with rhetoric. How do you explain how The Computational and Analytical Molecular Evolution Laboratory is calling for a new synthesis based on ""biased"" mutations??????   let's hear it.",Not Hope,Sarcasm
"Confused? First you say you don't believe in killing children unless it's ""absolutly (sic) necessary"", then you say you can't imagine a time that it would be absolutely necessary. Can't you make up your mind?",Not Hope,Sarcasm
"oh..., well..., i guess that makes it ok then ;)",Not Hope,Sarcasm
That would be one hell of a kiss...you would probably drown first though :),Hope,Sarcasm
"No, you wouldn't have. I'd have a better chance of winning the lottery without buying a ticket.",Not Hope,Sarcasm
It was a hypothetical question that has been answered..please try to keep up.,Hope,Sarcasm
"if carrying guns became legal, then police could no longer arrest people for carrying guns illegally!' emoticonxrolleyes really? i suppose you'd be happier if only the 'bad guys' were armed, because that would make them easier to identify.",Not Hope,Sarcasm
"Oh please, have you looked in any economics, business or law departments recently?",Not Hope,Sarcasm
I see you know nothing about the subject...hardly a surprise.,Not Hope,Sarcasm
"You have no Idea how glad I was that I was sitting down when I read this!!First it shocks me that you haven't labeled all those who claim to see UFO's liberals.Then I have to wonder didn't at one time the RCC say we were the center of the universe,... The sun went around the earth,... the earth was flat ?? Theres no one but us .. It was all created for us??Ok I'm goning to go take a little breath of fresh air and rest for a moment as this is very disturbing to me! .... V.O.R. and I agree on something. I think I'm going to be sick!! Back in a few.",Not Hope,Sarcasm
You just had to bring Godwin into didn't you. >_>   Besides what good is a corpse? Nevermind you're never going to understand my logic so I might as well not waste the time.,Not Hope,Sarcasm
there is no link that i know of..............do you know what cspan is? its a television network here in the u.s...........it shows demonstrations and protests among other things............. what other flags are you talking about? emoticonxconfused i don't know about where you live but in this country we have only one national flag....... maybe where you live you want to protect toilet paper.if you do go for it.......... emoticonxrolleyes you have a lot to learn in life young man.....hopefully with age will come wisdom.........,Hope,Sarcasm
"uhm, you do realize that humans and chimps are not the same things as dogs, cats, horses, and sharks ... right?  i am under no obligation to address the evolutionary origin every possible organism. let's review the facts. 1) i said there is a ton of evidence for macroevolution, and there is.  2) i gave a specific example, saying that i could provide multipe lines of independent evidence supporting the fact that humans and chipms share a common evolutionary ancestor. and i can.",Not Hope,Sarcasm
"hey doofus, you made no effort to qualify if those people were licensed carriers or just had a gun in the house or vault at the bank. many probably are hunters or people like yourself that owns a 30-06 his mommie bought him :) you answered exactly how? i know because i saw your first 3 responses. do you drink a lot? ...and often? so far it looks like 40% of non gun owners do most of the drinking. that doesn't mean they aren't armed, they just deny having a gun. sloppy poll!",Not Hope,Sarcasm
Why should you mutilate your son? Maybe you should have listened,Not Hope,Sarcasm
but should the elected legislature based in part on partisan politics be telling our courts which case to look at and which case not to look at? i thought there was a reason we had 3 seperate branches of government.,Not Hope,Sarcasm
Well its possible I suppose that GOD created the apple and endowed it with low levels of cyanide for the specific purpose of punishing man should he consume too many. Perhaps at the time the apple being referenced was a special one much like the one in Snow White.,Not Hope,Sarcasm
"You're lying to yourself.. So I'll just keep letting you know until the cloud of delusion dissipates.
",Not Hope,Sarcasm
Not only did I have to take care of covid patients last night but my charge nurse told me the covid scrubs make me look ���unwantable���! Great!,Not Hope,Sarcasm
"Why not? My mother has been 39,for the last 39 years.",Not Hope,Sarcasm
"not really. what was once consider metaphysical fantasies are actually physical phenomena.  so you don't actually believe if that science cannot prove it, it doesn't exist?  well duh. the supernatural exists outside the field of study. science cannot prove nor disprove the supernatural. it can disprove something that was previously considered supernatural as natural. that does not mean it does not exist.  what makes you say that? virtually all myths came from a truth.  is science the world?  can science measure forgiveness? how about hope? how love? according to you, since they defy the logical criteria of science, they therefore cannot exist?",Hope,Sarcasm
"miller case did nothing to defend the militia claim of the gun control people. the court ruled sawed off shot guns are not used in the military. if it had ruled people cannot own sawed off shot guns, then why can you still buy them?  does this also apply to the people that want gun control laws!? you know like when you said you hated inbred rednecks! why is it people that talk about talk about tolerance are the least tolerant people? practice what you preach!",Not Hope,Sarcasm
"I'm not going anywhere with this thread. I just wanted to point out the obvious hypocrisy of everything your side represents, and nothing more. You all go right ahead and massage your shallow World views.",Not Hope,Sarcasm
you would think the odds of me sitting next to the exact same stinky man three bus trips in a row is highly unlikely. alas I seem to be a lucky gal,Not Hope,Sarcasm
Mr Rodgers was a pedophile and Big Bird was a flamer. ;),Not Hope,Sarcasm
you kidding? ez can't see past the front of his cobwebbed skull.,Not Hope,Sarcasm
"I'll answer that as soon as you find a orthodx, conservative, reform, reconstructions or karsite rabbi that says the echad in the shema is a compound",Not Hope,Sarcasm
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! ����",Not Hope,Sarcasm
I wager 12 cubits that WW has no comprehension of what he just linked to.,Not Hope,Sarcasm
"I think if that happened, Texas probably will go back to being the lone star state.",Hope,Sarcasm
"Okay, so you believe that God did create the world in 6 days, created certain life and celestrial bodies on certain of those days, and man from dust, and woman from a rib; you just think that a few little details in the story got lost in translation?!?!?!
",Not Hope,Sarcasm
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,Not Hope,Sarcasm
And it is heat that resets the clock. Thus it is volcanic rock and ash that can be dated most reliably.,Not Hope,Sarcasm
"hehe.. Three negations in one sentance tammerlain? emoticonXWow :p 
BTW, do you know why portent is down?",Not Hope,Sarcasm
If that's the case I wish someone would unplug me. I'm getting tired of this version of reality.,Hope,Sarcasm
"Well, you certainly defended this video, Archangel. How interesting to now hear that you were defending material you hadn't even viewed. 
But I'm not going to do your homework for you. It's on this thread; jyoshu posted it. So search his posts on these pages.
",Not Hope,Sarcasm
"it looks like you have tried to analize everything i say as being 'my' life experiences. i really enjoy your abuse , i would love to meet up with you some day. my life is fantastic actually. i dont know why i have to keep repeating that. what about those in haiti right now ? what about others? i think they are more important than your fucking sulking over the americans lousy pronunciations.or me whining over you being an arsehole. as for amy winehouse , no reputable establishment would dare touch the skank.",Not Hope,Sarcasm
"Your ""opinion"" was a kindergarten question outlining a ""problem"" that never existed, a ""problem"" that was explained to you 3 or 4 times. How is it our fault that you ask such embarassing questions repeatedly, despite having the answers explained to you repeatedly? How does this reflect poorly on anyone but you?",Not Hope,Sarcasm
Haven't we all . The difference is some of us know that most people have or will and that it does not make us a fount of knowledge. As you show us so well.,Not Hope,Sarcasm
"and what are the choices of the so called 'pro-life' people? suffer through a rape or incest induced pregnancy, die from pregnancy complications without a chance of terminating it, or force women who took proper precautions which failed to go through an unwanted pregnancy while likely losing her job, scholarships, any chance at life, etc. some great choices there emoticonxrolleyes i'd swear the whole group of them have an underlying misogynistic syndrome.",Not Hope,Sarcasm
Thank you to @OrchardMead for organising pizza and ice cream! It was a lovely end of year gesture �������� Happy holidays everyone - time to collect our time owed in lieu! ���� #summerholidays https://t.co/324jzGSElj,Hope,Sarcasm
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,Hope,Sarcasm
would anyone here object to your 16 year old daughter camping out with 21 year old men? how about your 16 year old son with 21 year old women? edit: whoa! this thread is older than i thought.,Not Hope,Sarcasm
"emoticonXBanghead 
Sez-you...
emoticonXRolleyes 
And I thought you didn't know what you were talking about",Not Hope,Sarcasm
"and it is the nature of conspiracy theorists to stumble upon some small fact and let their very large imaginations run away with it to the land of make believe bullshit. so i am not surprised that your conspiracy theory has some element of truth to it; i would be surprised if it didn't. this doesn't make it all true, unfortunately for you.  fortunately for you, you're a religious nutjob in addition to being a conspiracy theorist, so you don't actually need to worry about the truth; you have faith! damn the evidence, this is all about adapting the truth to suit your own narrow preconceived ideas. sorry, not your ideas, per se, rather the ideas foisted upon you that you preach to others.",Not Hope,Sarcasm
Would anyone like to give me some money? #FinDom,Hope,Sarcasm
"Your knowledge of history is frightening. We saw how well Sarbane-Oxley, the most far-reaching intrusion into corporate America since FDR, prevented our recent crash. A crash that was precipitated by Clinton's edict to Fannie Mae and Freddie Mac to loosen up the purse strings so deadbeats could get mortgages.",Not Hope,Sarcasm
So it's your contention that hundreds of thousands of firearms stolen from residences annually is just par for the course?,Not Hope,Sarcasm
"Actually that was obvious based on your type of irrational reasoning.
",Not Hope,Sarcasm
Stop gatekeeping retirement living communities. I am mentally and spiritually ready to move in.,Hope,Sarcasm
"<sarcasm mode on> it's sexual assault because when she sobered up and realized what she'd done, the little darling couldn't possibly have been responsible for her own actions.  <sarcasm mode off>",Not Hope,Sarcasm
"As far as insults go, this one makes no sense, except in your little mind.And I made your ignore list?Finally! I am getting somewhere!",Not Hope,Sarcasm
"wow, lets all clap for that great argument for evolutionism. finally you are cheering for the correct side. personally, i'm not sure why this is being brought up again. it is funny how many of you religious people are so sure of your faith, but can't stand to see other people talk about how observable data doesn't fit with it.",Not Hope,Sarcasm
"<flush>
Just come up with something that discredits the resurrection, if you think you can. Should be easy for you Einsteins, shouldn't it?
But in two years I haven't seen it yet. Not from you or anybody else.
Where's the beef?",Not Hope,Sarcasm
"This run down old man walks 3 miles/day, has never broken a major bone and has had only one operation as a college student to remove my appendix. I bet you I can run circles around your flabby liberal arse. :p",Not Hope,Sarcasm
"Oh well. Keep trying and you will get there one day.
",Hope,Sarcasm
So that pesky kid who climbs your fence to get his ball back is fair game. Riiight.,Not Hope,Sarcasm
"And, I suppose that the priest wasn't terrifying his victim and wasn't telling the poor child that it was ""God's will.""",Not Hope,Sarcasm
"Enjoy the bars and vineyards�������
Make sure to send postcards to the people dying in your local hospitals.  I���m sure they���ll be glad you���re not bored anymore",Hope,Sarcasm
"VoR is about as Catholic as the Archbishop of Cantebury. I'm curious about what I'm right about though, seeing as I asked you whether you think that medically un-necessary abortions should be legal or not.",Not Hope,Sarcasm
"if god is supposed to be omnibenevolent, why should we fear him? oh wait, he kills children...",Not Hope,Sarcasm
i've just finished reading your contributions to this thread and i'm astonished by the sheer bombast of their tone and the sciolism in their content. why don't you just make succinct and logical points without the 'support' of a ridiculous apparatus of phoney scholarship ?,Not Hope,Sarcasm
"Many of the Christian denominations are ignoring them the same way they ignore the prohibitions against pork, mixed cloth, and stoning your children to death because they sass you.",Not Hope,Sarcasm
"he can't sin, get a teenage girl knocked up on a one night stand, but not sin. slaughter innocents personally or command his followers to do so but can't sin. oh yes he isn't very good at watching out for his kids. i mean look at adam and eve and then he got another chance with jesus and look how that turned out. and see above for other things he can't do.",Not Hope,Sarcasm
"as to the first part, i answered you above. regarding the second part; what in the world are you talking about? girls who are born from unfertilized eggs? and boys born of virgin mothers? can you post any evidence of these cases? beside jesus of course, because we know his father is god and that he possesses the holy spirit.",Not Hope,Sarcasm
"yes, how silly of me to debate him on 'points'. i should debate him on .... what? and here you are again criticising one side, and not the other. he was insulting; you remained stony silent. because he denies that darwin ever used it. darwin did. small point but he entered into all sorts of highly spurious rationales rather than accepting this point (again you were stony silent on this) what is evolution? what is evidence? well that would be a first time. but why ask now, after several days, after he's gone by the wayside, after he made the claim again and again and again? you made no statement while he was claiming this false claim? why your sudden interest in digging all posts i've responded too?",Not Hope,Sarcasm
I'm guessing that nobody wanted to fish it out of the toilet bowl. ;),Not Hope,Sarcasm
"maybe you should subtitle this thread: the right to a school with perfect parents. but that's not public education. you sound as extreme as the people who don't want gay parents in their schools. well, go ahead, dear. have fun tearing each other apart.",Not Hope,Sarcasm
"Ok, i think i get your point, you dont care about laws so you do as you like, you dont agree with something so you do want you want to do.
I may not agree with you, so in your view, i dont need any bodys permission to take you out.",Not Hope,Sarcasm
"Sounds like an abortion bill amendment to restrict all travel by minors is needed by those demanding that young girls give birth after being impregnated by rapists, fathers, uncles, etc. Might as well include adults, just to simplify matters and enhance state police power. Bubbah will be pleased.",Not Hope,Sarcasm
...Because everyone knows there are no married men sexually abusing children. emoticonXConfused,Not Hope,Sarcasm
if i saw a capybara in person id probably throw up,Hope,Sarcasm
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",Hope,Sarcasm
So you are saying that we determine our DNA? Do you actually think before typing?,Not Hope,Sarcasm
"i would ask you for a link, but this time i'm not feeling generous.  didn't you know that there are about 2.5 million cases of gun self defence annually, in about 92% of those cases nobody was harmed? does this even compare to the microscopic 102,200 deaths (don't tell me that's, wrong thats the very number that your cult has been using, comrade) that the brady fanatics have been whining about? your stats are simply untrue.",Not Hope,Sarcasm
Yep.We must obey the will of the people.The vote was totally fair!So...why are those who obviously voted for M.A. rioting?I guess they are like America.Vote for someone insane...and then riot about the results.,Not Hope,Sarcasm
Do you know how many Osama Bin Ladens we Killed???? emoticonXRolleyes,Not Hope,Sarcasm
"a lot of muslim women who wear hijab of some sort or another were born in the west (i don't know any who wear the burqa, it's pretty rare), where exactly are you suggesting they go back to? last i checked there wasn't a lot of sand in blackburn or birmingham.",Not Hope,Sarcasm
OH FREE MARKET???? IM goin to take the embryos and fetuses slain in abortion centers and turn it into a new food source and sell it at the grocery store!!!!!!!!!!!!!!!!,Hope,Sarcasm
"no.. go read the bible before you look dumber than you already do. sorry dear, ad hominems do nothing. it sounds like you're talking about something you know little about. i apologize i sound that way. i certainly know what i am referring to in the bible, and knowing that you have admitted you don't necessarily follow the whole bible (god > bible) i figured i wouldn't assume you believed in genesis adam and eve. but rather give you the option to say yes or no.  god didn't want us to be puppets.  i didn't necessarily say puppets. he wanted us to have free will, to do what we wanted -and if they did love him, it should be their choice. if sin wasn't created, we would have been god's puppets. so god was performing some twisted reverse psychology on adam and eve?",Not Hope,Sarcasm
That could also be very effective in a positive manner during political campaign speeches.,Hope,Sarcasm
"Stunning. You're here insulting me even though we agree on this issue. You must really hate me, Antonia.",Not Hope,Sarcasm
